25
BnB;SwO;Abweichung
35,1487;6,9188;0
98,2707;0,7622;0
19,9754;0,4511;0
76,8929;0,2691;0
52,5985;0,6199;0
24,3919;0,264;0
123,2789;0,5952;0
111,1268;0,6442;0
25,0777;0,4324;1
67,0416;0,5654;0
25,5297;0,2906;0
114,1997;0,2999;0
80,8083;0,5117;0
52,5929;0,8471;0
50,272;0,4385;3
110,1234;0,4361;0
145,12;0,4389;0
46,4909;0,3274;3
40,0466;0,2747;0
73,1277;0,752;3
50
BnB;SwO;Abweichung
549,4591;1,3295;1
90,6559;0,8327;1
614,5144;1,1872;0
526,246;0,8345;4
396,3683;1,2315;0
433,6042;0,8093;0
253,9348;1,1182;0
321,1869;1,1658;0
616,7858;0,9096;1
20,065;0,7926;0
195,1905;0,8056;4
302,0166;0,9843;1
215,1189;0,8308;3
120,855;1,0081;0
210,3526;0,9586;0
44,5078;0,7977;0
135,62;1,4522;0
260,0834;0,9078;0
235,9192;0,5089;0
44,7294;0,7492;5
75
BnB;SwO;Abweichung
232,4185;1,922;0
331,9633;1,1868;1
805,1056;1,1326;1
559,5632;1,3962;2
104,2449;1,2595;0
457,0822;1,3421;1
318,5334;1,1676;0
143,5908;0,7501;4
339,6574;1,0939;0
152,2016;1,4709;2
632,7279;1,1802;1
126,315;1,2101;4
553,1641;1,0837;3
1135,4353;1,0323;2
71,9796;1,3388;0
347,0437;1,5525;0
1142,7977;1,4452;1
263,5585;1,183;1
40,7916;1,8105;1
167,3455;1,0225;0
100
BnB;SwO;Abweichung
231,9902;1,3995;1
599,754;1,4177;1
955,8751;1,8413;1
177,1175;2,6619;2
1150,4797;1,4069;1
539,9367;1,8697;1
1408,5857;1,4037;3
447,0896;1,4774;4
419,6737;1,9052;3
175,2234;1,4027;0
369,9988;3,0262;1
568,2497;1,3874;3
707,2682;2,5298;2
1578,8161;1,4284;0
649,5936;2,1608;0
623,1681;2,3633;1
167,4397;0,9213;0
875,599;1,7601;0
1472,5199;1,7256;3
299,2903;2,1398;0
125
BnB;SwO;Abweichung
768,1716;1,7456;1
1046,4629;1,7344;3
440,5197;2,1011;3
718,5937;2,7929;2
2560,7491;3,1606;0
1395,9223;2,4482;1
136,4289;2,7645;2
828,5361;2,2425;0
264,6268;2,9684;0
1197,0677;1,7783;2
